
2024/11/26 (18:26:14) | ===> btop++ v.1.4.0
2024/11/26 (18:26:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/26 (18:33:07) | ===> btop++ v.1.4.0
2024/11/26 (18:33:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/26 (18:45:42) | ===> btop++ v.1.4.0
2024/11/26 (18:45:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/26 (18:55:50) | ===> btop++ v.1.4.0
2024/11/26 (18:55:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/26 (19:27:17) | ===> btop++ v.1.4.0
2024/11/26 (19:27:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/26 (20:05:13) | ===> btop++ v.1.4.0
2024/11/26 (20:05:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/26 (20:29:28) | ===> btop++ v.1.4.0
2024/11/26 (20:29:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/26 (21:12:06) | ===> btop++ v.1.4.0
2024/11/26 (21:12:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/26 (21:25:29) | ===> btop++ v.1.4.0
2024/11/26 (21:25:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/26 (21:46:49) | ===> btop++ v.1.4.0
2024/11/26 (21:46:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/26 (21:55:12) | ===> btop++ v.1.4.0
2024/11/26 (21:55:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/26 (21:58:10) | ===> btop++ v.1.4.0
2024/11/26 (21:58:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/26 (22:15:27) | ===> btop++ v.1.4.0
2024/11/26 (22:15:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/26 (22:17:28) | ===> btop++ v.1.4.0
2024/11/26 (22:17:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/26 (23:41:59) | ===> btop++ v.1.4.0
2024/11/26 (23:41:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/26 (23:50:19) | ===> btop++ v.1.4.0
2024/11/26 (23:50:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/26 (23:57:42) | ===> btop++ v.1.4.0
2024/11/26 (23:57:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/27 (00:06:35) | ===> btop++ v.1.4.0
